     i         cx         cy
     0   0.190337   0.129534
     1   0.330270   0.129117
     2   1.000000  -0.236398
     3   0.192887   0.284568
     4  -0.522416  -0.078536
     5  -0.383335   0.132982
     6  -0.382236   0.509740
     7   0.597432  -0.065795
     8   0.872230  -0.073424
     9   0.867650  -0.234099
    10   0.597562  -0.226250
    11   0.321781  -0.436020
    12   0.603028   0.128305
    13   0.057461  -0.083391
    14   0.064613  -0.428803
    15  -0.098252   0.284202
    16  -0.525295  -0.238965
    17   0.058054   0.284538
    18  -0.386262  -0.436937
    19   0.059822  -0.290127
    20  -0.524856  -0.481592
    21  -0.923650  -0.462195
    22   0.565913  -0.367909
    23   0.738938  -0.176677
    24   0.784687  -0.124696
    25   0.060471  -0.366554
    26   0.328592   0.388708
    27   0.740307  -0.363716
    28  -0.746703   0.220441
    29   0.479941  -0.059941
    30   0.059009   0.129932
    31   0.484135   0.283715
    32   0.330641   0.282631
    33   0.191566  -0.029974
    34  -0.099137   0.130404
    35  -0.098796  -0.248573
    36  -0.069566  -0.247432
    37   0.282953  -0.087821
    38  -0.236545   0.285260
    39  -0.793551  -0.079502
    40  -0.936252   0.040128
    41  -0.932261  -0.078681
    42  -0.840915   0.130828
    43  -0.519066   0.131637
    44  -0.521603   0.290755
    45  -0.593479   0.367232
    46  -0.239176   0.131329
    47   0.482312  -0.319221
    48   0.475514  -0.439424
    49  -0.066824   0.283951
    50  -0.098269  -0.083546
    51  -0.067612   0.130305
    52  -0.068714  -0.083459
    53  -0.067705  -0.434735
    54   0.575920  -0.419979
    55   0.324264  -0.331046
    56   0.782873  -0.175469
    57   0.784333  -0.150753
    58  -0.655768  -0.079850
    59  -0.659468   0.127884
    60  -0.685044   0.469959
    61   0.359912   0.427520
    62   0.059489   0.506186
    63  -0.101170  -0.435734
    64   0.319421  -0.266947
    65   0.057492  -0.246657
    66   0.194508  -0.083567
    67  -0.236508   0.508183
    68  -0.241435  -0.360070
    69  -0.238105  -0.247375
    70  -0.240858  -0.431424
    71  -0.523633  -0.399504
    72  -0.788120  -0.450855
    73  -0.098937   0.506998
    74  -0.065704   0.503946
    75  -0.928301  -0.241319
    76   0.462709  -0.122006
    77   0.376299  -0.284529
    78   0.437279  -0.158512
    79   0.268573  -0.250447
    80   0.740687  -0.071254
    81   0.921619  -0.012609
    82   0.657574   0.199025
    83   0.506674   0.316870
    84   0.482580   0.128661
    85  -0.938564   0.233898
    86  -1.000000   0.172174
    87   0.762209   0.115533
    88   0.058863   0.022295
    89   0.738278  -0.230790
    90  -0.385930  -0.243025
    91  -0.385048  -0.371112
    92  -0.790140  -0.240271
    93  -0.844300   0.323428
    94  -0.382138   0.289104
    95  -0.385430  -0.080192
    96   0.081247  -0.330573
    97   0.739633  -0.297431
    98   0.774897  -0.386609
    99  -0.661000  -0.239761
   100  -0.237277  -0.079807
